Name	Latitude	Longitude
Kalanki Stop	27.6932356	85.28117994
Sita Petrol Pump Stop (Balkhu)	27.688497	85.2868416
Balkhu Bus Stop (Sanepa)	27.68489845	85.29861065
Sanepa Bus Stop (Chakrapath)	27.68440202	85.30191732
Star Hospital Bus Stop (Ekantakuna)	27.68119825	85.30249048
Ekantakuna Bus Stop (Kusunti)	27.66803668	85.30720186
Kusunti Bus Stop	27.66541125	85.31323568
Thasikhel Stop	27.66295649	85.31659643
Mahalaxmi Stop	27.661590	85.318181
Talchikhela Stop	27.65932183	85.32110305
Tikabhairav	27.65807135	85.3228192
Satobato Stop (Lagankhel)	27.65863061	85.32416949
Patan Industry Stop (Lagankhel)	27.66247727	85.32384489
Lagankhel	27.66729968	85.3231659
Ratnapark	27.702561742152824	85.31361099960553
Tudikhel Bus Stop	27.70202397	85.31654579
Bhirikuti Mandap Stop	27.70090581	85.31660836
Sahid Gate Bus Stop	27.69966749	85.314113
Tripureshwar Bus Stop	27.6938922	85.31299833
Teku Bus Stop	27.69615485	85.30688154
Kalimati Bus Stop (Balkhu)	27.69826685	85.29961261
Balkhu Stop	27.685911	85.298217
Balkhu Wari	27.68449578	85.29740378
Kumari Club (Dashinkali)	27.68213001	85.29861534
TU Gate (Dashinkali)	27.67880186	85.29728255
Nayabato (Dashinkali)	27.67603301	85.29397839
Nayabato (Kirtipur)	27.67632523	85.29353559
Ayurbedhik Hospital Stop	27.67572751	85.28716144
Tin Kune Kirtipur	27.67656224	85.28358555
Nayabazar Gate	27.67702254	85.28189095
Panga Dobato Stop	27.67463783	85.28025712
Nagau Dobato Stop	27.67482353	85.27761347
Telecome Stop	27.67584611	85.27647569
Khasi Bazar Stop	27.67748367	85.27513678
Dhalpa Chowk	27.67805296	85.27358028
Devdhoka Stop	27.68236274	85.27279479
Dev Bus Stop	27.68114377	85.27552166
Bishnudevi Hospital Bus Stop	27.68058981	85.27636313
Tin Kune (Nayabato)	27.67652259	85.28378339
Ayurbedhik Hospital (Nayabato)	27.67580912	85.28733057
